Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
1	1	1	668.5	696.833	0	30.3	0	0	NA	NA	NA	NA	NA
2	1	2	669.167	695.833	0	25.4	1.202	1.202	NA	1.202	NA	-56.31	NA
3	1	3	663.167	693.5	0	5.1	7.64	6.289	NA	6.438	NA	-158.749	-102.44
4	1	4	664.5	691.5	0	37.5	10.043	6.667	NA	2.404	NA	-56.31	102.44
5	1	5	661.5	689.5	0	36.2	13.649	10.138	NA	3.606	NA	-146.31	-90
6	1	6	662.167	689.167	0	29.3	14.394	9.944	NA	0.745	NA	-26.565	119.745
7	1	7	663.5	687.5	0	37.5	16.529	10.588	NA	2.134	NA	-51.34	-24.775
8	1	8	665.167	687.167	0	33.6	18.228	10.225	NA	1.7	NA	-11.31	40.03
9	1	9	667.833	685.5	0	24.5	21.373	11.353	NA	3.145	NA	-32.005	-20.695
10	1	10	666.5	682.167	0	4.6	24.963	14.802	NA	3.59	NA	-111.801	-79.796
11	1	11	665.167	685.833	0	38.6	28.865	11.494	NA	3.902	NA	109.983	-138.215
12	1	12	665.5	683.833	0	39.6	30.892	13.342	NA	2.028	NA	-80.538	169.479
13	1	13	664.167	682.167	0	60.5	33.027	15.293	NA	2.134	NA	-128.66	-48.122
14	1	14	663.5	682.167	0	53.6	33.693	15.496	NA	0.667	NA	180	-51.34
15	1	15	670.167	678.5	0	164	41.302	18.409	NA	7.608	NA	-28.811	151.189
16	1	16	673.167	684.167	0	98.3	47.713	13.499	NA	6.412	NA	62.103	90.914
17	1	17	672.833	681.167	0	0.6	50.732	16.255	NA	3.018	NA	-96.34	-158.443
18	1	18	672.833	683.5	0	31.4	53.065	14.02	NA	2.333	NA	90	-173.66
19	1	19	673.833	685.5	0	15.3	55.301	12.526	NA	2.236	NA	63.435	-26.565
20	1	20	673.5	684.5	0	24.4	56.355	13.308	NA	1.054	NA	-108.435	-171.87
21	1	21	675.5	685.5	0	8.3	58.592	13.321	NA	2.236	NA	26.565	135
22	1	22	678.5	685.167	0	150.3	61.61	15.366	NA	3.018	NA	-6.34	-32.905
23	1	23	675.5	688.833	0	51.3	66.348	10.63	NA	4.738	NA	129.289	135.63
24	1	24	673.167	688.5	0	78.2	68.705	9.551	NA	2.357	NA	-171.87	58.841
25	1	25	675.5	687.167	0	34.1	71.392	11.935	NA	2.687	NA	-29.745	142.125
26	1	26	680.167	689.833	0	27.3	76.767	13.606	NA	5.375	NA	29.745	59.49
27	1	27	682.833	691.5	0	7	79.911	15.293	NA	3.145	NA	32.005	2.261
28	1	28	683.833	692.5	0	7.9	81.326	15.934	NA	1.414	NA	45	12.995
29	1	29	684.5	694.167	0	4.8	83.121	16.221	NA	1.795	NA	68.199	23.199
30	1	30	683.5	695.167	0	37.3	84.535	15.092	NA	1.414	NA	135	66.801
31	1	31	685.833	695.167	0	23.1	86.868	17.413	NA	2.333	NA	0	-135
32	1	32	682.5	698.5	0	152.5	91.582	14.099	NA	4.714	NA	135	135
33	1	33	683.833	695.167	0	38.1	95.172	15.424	NA	3.59	NA	-68.199	156.801
34	1	34	686.5	697.833	0	6.3	98.944	18.028	NA	3.771	NA	45	113.199
35	1	35	688.833	700.167	0	38.3	102.243	20.605	NA	3.3	NA	45	0
36	1	36	690.833	698.5	0	3.6	104.847	22.395	NA	2.603	NA	-39.806	-84.806
37	1	37	689.833	697.5	0	39.6	106.261	21.344	NA	1.414	NA	-135	-95.194
38	1	38	689.167	698.167	0	34	107.204	20.71	NA	0.943	NA	135	-90
39	1	39	692.167	701.5	0	30.5	111.688	24.122	NA	4.485	NA	48.013	-86.987
40	1	40	693.5	702.167	0	2.7	113.179	25.563	NA	1.491	NA	26.565	-21.448
41	1	41	695.5	701.167	0	24.6	115.415	27.346	NA	2.236	NA	-26.565	-53.13
