Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
1	1	1	873.5	656.25	0	26.7	0	0	NA	NA	NA	NA	NA
2	1	2	880.75	659	0	5	7.754	7.754	NA	7.754	NA	20.772	NA
3	1	3	876.25	658.25	0	19.7	12.316	3.4	NA	4.562	NA	-170.538	168.69
4	1	4	878.5	656.75	0	45.6	15.02	5.025	NA	2.704	NA	-33.69	136.848
5	1	5	878.75	656.25	0	36	15.579	5.25	NA	0.559	NA	-63.435	-29.745
6	1	6	876.75	657.5	0	33	17.938	3.482	NA	2.358	NA	147.995	-148.57
7	1	7	880.25	658.25	0	44	21.517	7.04	NA	3.579	NA	12.095	-135.9
8	1	8	882.25	657.75	0	8	23.579	8.878	NA	2.062	NA	-14.036	-26.131
9	1	9	879.5	655.5	0	37	27.132	6.047	NA	3.553	NA	-140.711	-126.674
10	1	10	877.25	658.5	0	6	30.882	4.373	NA	3.75	NA	126.87	-92.42
11	1	11	878.75	659.75	0	9	32.835	6.31	NA	1.953	NA	39.806	-87.064
12	1	12	880.75	655.75	0	16	37.307	7.267	NA	4.472	NA	-63.435	-103.241
13	1	13	879.75	658.5	0	31	40.233	6.643	NA	2.926	NA	109.983	173.418
14	1	14	879	656.25	0	47	42.605	5.5	NA	2.372	NA	-108.435	141.582
15	1	15	882.25	660	0	38	47.567	9.52	NA	4.962	NA	49.086	157.521
16	1	16	881.5	657.75	0	15	49.939	8.139	NA	2.372	NA	-108.435	-157.521
17	1	17	883	656.5	0	7.4	51.891	9.503	NA	1.953	NA	-39.806	68.629
18	1	18	881	657	0	37	53.953	7.537	NA	2.062	NA	165.964	-154.231
19	1	19	881.5	654	0	3.4	56.994	8.31	NA	3.041	NA	-80.538	113.499
20	1	20	881.5	656.5	0	38.6	59.494	8.004	NA	2.5	NA	90	170.538
21	1	21	879.75	655.25	0	45.6	61.645	6.329	NA	2.151	NA	-144.462	125.538
22	1	22	882.75	657.75	0	34	65.55	9.371	NA	3.905	NA	39.806	-175.732
23	1	23	885.5	659.75	0	133	68.95	12.5	NA	3.4	NA	36.027	-3.778
24	1	24	886	658.25	0	0	70.531	12.659	NA	1.581	NA	-71.565	-107.592
25	1	25	886.25	659.5	0	0	71.806	13.158	NA	1.275	NA	78.69	150.255
26	1	26	885.75	660	0	26	72.513	12.811	NA	0.707	NA	135	56.31
27	1	27	885.75	660.5	0	16	73.013	12.966	NA	0.5	NA	90	-45
28	1	28	886.25	662	0	2.4	74.594	13.987	NA	1.581	NA	71.565	-18.435
29	1	29	886.5	661.25	0	2	75.385	13.928	NA	0.791	NA	-71.565	-143.13
30	1	30	884.5	663.25	0	0	78.213	13.038	NA	2.828	NA	135	-153.435
31	1	31	887.75	663	0	19.5	81.473	15.768	NA	3.26	NA	-4.399	-139.399
32	1	32	892	664.5	0	154.9	85.98	20.256	NA	4.507	NA	19.44	23.839
33	1	33	891	662	0	39.5	88.672	18.42	NA	2.693	NA	-111.801	-131.241
34	1	34	890.75	661	0	50	89.703	17.892	NA	1.031	NA	-104.036	7.765
35	1	35	893	662.75	0	38.4	92.554	20.555	NA	2.85	NA	37.875	141.911
36	1	36	895.5	665.75	0	76.9	96.459	23.964	NA	3.905	NA	50.194	12.319
37	1	37	896.5	664	0	10.2	98.474	24.271	NA	2.016	NA	-60.255	-110.45
38	1	38	897.25	662.25	0	61.8	100.378	24.496	NA	1.904	NA	-66.801	-6.546
39	1	39	898	660.75	0	55	102.055	24.91	NA	1.677	NA	-63.435	3.366
40	1	40	901.75	662.5	0	5.5	106.194	28.933	NA	4.138	NA	25.017	88.452
41	1	41	903.5	665.5	0	74.2	109.667	31.394	NA	3.473	NA	59.744	34.727
42	1	42	906	664	0	53.9	112.582	33.411	NA	2.915	NA	-30.964	-90.707
43	1	43	903.5	661.5	0	18.5	116.118	30.456	NA	3.536	NA	-135	-104.036
44	1	44	900.75	659.75	0	52	119.377	27.474	NA	3.26	NA	-147.529	-12.529
45	1	45	901.75	659	0	46.7	120.627	28.384	NA	1.25	NA	-36.87	110.659
46	1	46	902.75	658	0	1	122.042	29.302	NA	1.414	NA	-45	-8.13
47	1	47	903.25	659.25	0	47.7	123.388	29.901	NA	1.346	NA	68.199	113.199
48	1	48	896.75	663.75	0	177.2	131.293	24.43	NA	7.906	NA	145.305	77.106
49	1	49	897	657.5	0	23.4	137.548	23.533	NA	6.255	NA	-87.709	126.986
50	1	50	898.75	655.75	0	0.6	140.023	25.255	NA	2.475	NA	-45	42.709
51	1	51	895	653.75	0	5.5	144.273	21.645	NA	4.25	NA	-151.928	-106.928
52	1	52	890.75	655.25	0	40.8	148.78	17.279	NA	4.507	NA	160.56	-47.513
53	1	53	887	653.75	0	26.8	152.819	13.73	NA	4.039	NA	-158.199	41.241
54	1	54	882.75	654	0	110.4	157.077	9.52	NA	4.257	NA	176.634	-25.168
55	1	55	886.5	652.25	0	19.8	161.215	13.601	NA	4.138	NA	-25.017	158.35
56	1	56	892.25	657.75	0	9.4	169.172	18.81	NA	7.957	NA	43.727	68.744
57	1	57	897.5	656.75	0	7.4	174.516	24.005	NA	5.344	NA	-10.784	-54.511
58	1	58	898	655	0	28.8	176.336	24.532	NA	1.82	NA	-74.055	-63.27
59	1	59	903.5	655.75	0	0.6	181.887	30.004	NA	5.551	NA	7.765	81.82
60	1	60	906.25	658.5	0	0.6	185.776	32.827	NA	3.889	NA	45	37.235
61	1	61	907.75	660.25	0	0.6	188.081	34.483	NA	2.305	NA	49.399	4.399
62	1	62	909.25	658	0	11.7	190.785	35.793	NA	2.704	NA	-56.31	-105.709
63	1	63	910.25	657.25	0	6.1	192.035	36.764	NA	1.25	NA	-36.87	19.44
64	1	64	904.75	661.75	0	26	199.141	31.73	NA	7.106	NA	140.711	177.58
65	1	65	897	661.5	0	0.6	206.895	24.079	NA	7.754	NA	-178.152	41.137
66	1	66	890.75	662.5	0	150	213.225	18.347	NA	6.329	NA	170.91	-10.938
67	1	67	900.5	664.75	0	0	223.231	28.306	NA	10.006	NA	12.995	-157.915
68	1	68	900	669	0	36	227.511	29.408	NA	4.279	NA	96.71	83.715
69	1	69	902.75	667.25	0	31.6	230.77	31.25	NA	3.26	NA	-32.471	-129.181
70	1	70	908.5	670.5	0	8	237.375	37.79	NA	6.605	NA	29.476	61.947
71	1	71	908	671.5	0	31.6	238.493	37.72	NA	1.118	NA	116.565	87.089
