Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
1	1	1	834.833	635.167	0	38.4	0	0	NA	NA	NA	NA	NA
2	1	2	833.5	635.167	0	38.4	1.333	1.333	NA	1.333	NA	180	NA
3	1	3	833.5	635.167	0	36.1	1.333	1.333	NA	0	NA	0	-180
4	1	4	833.5	635.167	0	32.5	1.333	1.333	NA	0	NA	0	0
5	1	5	834.833	635.167	0	38.4	2.667	0	NA	1.333	NA	0	0
6	1	6	834.833	635.167	0	50.1	2.667	0	NA	0	NA	0	0
7	1	7	833.5	634.833	0	32.5	4.041	1.374	NA	1.374	NA	-165.964	-165.964
8	1	8	833.833	635.5	0	44.1	4.786	1.054	NA	0.745	NA	63.435	-130.601
9	1	9	832.167	635.833	0	27.1	6.486	2.749	NA	1.7	NA	168.69	105.255
10	1	10	832.167	634.167	0	39.5	8.153	2.848	NA	1.667	NA	-90	101.31
11	1	11	833.833	633.833	0	50.1	9.852	1.667	NA	1.7	NA	-11.31	78.69
12	1	12	835.167	634.833	0	38.4	11.519	0.471	NA	1.667	NA	36.87	48.18
13	1	13	834.5	634.5	0	34.1	12.264	0.745	NA	0.745	NA	-153.435	169.695
14	1	14	834.5	634.5	0	28.1	12.264	0.745	NA	0	NA	0	153.435
15	1	15	833.833	634.5	0	45.4	12.931	1.202	NA	0.667	NA	180	180
16	1	16	832.833	634.833	0	45.4	13.985	2.028	NA	1.054	NA	161.565	-18.435
17	1	17	832.5	632.833	0	51.4	16.013	3.3	NA	2.028	NA	-99.462	98.973
18	1	18	834.5	633.167	0	28.1	18.04	2.028	NA	2.028	NA	9.462	108.925
19	1	19	835.167	633.167	0	43.1	18.707	2.028	NA	0.667	NA	0	-9.462
20	1	20	834.5	633.167	0	44.1	19.374	2.028	NA	0.667	NA	180	180
21	1	21	834.167	631.833	0	37.1	20.748	3.399	NA	1.374	NA	-104.036	75.964
22	1	22	835.167	631.5	0	34.1	21.802	3.682	NA	1.054	NA	-18.435	85.601
23	1	23	837.167	629.167	0	1.8	24.875	6.438	NA	3.073	NA	-49.399	-30.964
24	1	24	840.5	632.833	0	29.1	29.831	6.128	NA	4.955	NA	47.726	97.125
25	1	25	842.167	633.833	0	39.5	31.774	7.454	NA	1.944	NA	30.964	-16.763
26	1	26	839.833	634.833	0	16.1	34.313	5.011	NA	2.539	NA	156.801	125.838
27	1	27	836.833	633.833	0	42.1	37.475	2.404	NA	3.162	NA	-161.565	41.634
28	1	28	832.833	634.167	0	5.5	41.489	2.236	NA	4.014	NA	175.236	-23.199
29	1	29	829.833	631.833	0	85	45.29	6.009	NA	3.801	NA	-142.125	42.639
30	1	30	834.5	634.5	0	38.4	50.665	0.745	NA	5.375	NA	29.745	171.87
31	1	31	835.5	634.833	0	31.4	51.719	0.745	NA	1.054	NA	18.435	-11.31
32	1	32	837.167	636.167	0	26.8	53.853	2.539	NA	2.134	NA	38.66	20.225
33	1	33	840.167	639.5	0	145.4	58.338	6.872	NA	4.485	NA	48.013	9.353
34	1	34	840.167	639.5	0	1.5	58.338	6.872	NA	0	NA	0	-48.013
35	1	35	839.833	640.5	0	12	59.392	7.311	NA	1.054	NA	108.435	108.435
36	1	36	839.5	643.167	0	17	62.079	9.262	NA	2.687	NA	97.125	-11.31
37	1	37	838.5	645.833	0	17	64.927	11.279	NA	2.848	NA	110.556	13.431
38	1	38	836.167	648.5	0	159	68.47	13.4	NA	3.543	NA	131.186	20.63
39	1	39	836.167	648.5	0	1	68.47	13.4	NA	0	NA	0	-131.186
40	1	40	838.167	650.167	0	37	71.074	15.366	NA	2.603	NA	39.806	39.806
41	1	41	839.167	652.833	0	40	73.922	18.19	NA	2.848	NA	69.444	29.638
42	1	42	841.167	656.5	0	112	78.098	22.254	NA	4.177	NA	61.39	-8.054
43	1	43	844.167	656.5	0	0	81.098	23.286	NA	3	NA	0	-61.39
44	1	44	847.167	656.167	0	47	84.117	24.354	NA	3.018	NA	-6.34	-6.34
45	1	45	850.5	657.833	0	17.2	87.844	27.554	NA	3.727	NA	26.565	32.905
46	1	46	853.5	659	0	23	91.063	30.273	NA	3.219	NA	21.251	-5.315
47	1	47	855.25	658	0	46.6	93.078	30.63	NA	2.016	NA	-29.745	-50.995
48	1	48	856.75	661.5	0	0.2	96.886	34.261	NA	3.808	NA	66.801	96.546
49	1	49	861.75	658.75	0	53.7	102.592	35.787	NA	5.706	NA	-28.811	-95.612
50	1	50	862	661.5	0	39.6	105.354	37.835	NA	2.761	NA	84.806	113.616
51	1	51	864.75	663.75	0	15.2	108.907	41.376	NA	3.553	NA	39.289	-45.516
52	1	52	866	663	0	39.6	110.365	41.786	NA	1.458	NA	-30.964	-70.253
53	1	53	865.5	661.75	0	24.2	111.711	40.585	NA	1.346	NA	-111.801	-80.838
54	1	54	865.25	661.75	0	24.2	111.961	40.396	NA	0.25	NA	180	-68.199
55	1	55	861.75	660.5	0	36	115.677	36.963	NA	3.717	NA	-160.346	19.654
56	1	56	858.75	664	0	43.2	120.287	37.462	NA	4.61	NA	130.601	-69.053
57	1	57	852	664.75	0	80.2	127.079	34.203	NA	6.792	NA	173.66	43.059
58	1	58	850.5	664.25	0	39.3	128.66	33.035	NA	1.581	NA	-161.565	24.775
59	1	59	846.75	662.5	0	11.3	132.798	29.818	NA	4.138	NA	-154.983	6.582
60	1	60	850.5	660.75	0	51	136.936	29.999	NA	4.138	NA	-25.017	129.966
61	1	61	856.75	664.25	0	26.7	144.1	36.417	NA	7.163	NA	29.249	54.266
62	1	62	865.25	665	0	156	152.633	42.605	NA	8.533	NA	5.042	-24.206
63	1	63	866.25	664.5	0	39.9	153.751	42.982	NA	1.118	NA	-26.565	-31.608
64	1	64	872	667.25	0	18.8	160.124	49.099	NA	6.374	NA	25.56	52.125
65	1	65	870.25	666	0	25.9	162.275	46.958	NA	2.151	NA	-144.462	-170.022
66	1	66	868.75	667.25	0	39.9	164.228	46.687	NA	1.953	NA	140.194	-75.343
67	1	67	867	669	0	58.4	166.702	46.684	NA	2.475	NA	135	-5.194
68	1	68	862	671.5	0	33.5	172.293	45.367	NA	5.59	NA	153.435	18.435
69	1	69	856.75	671.25	0	35.8	177.549	42.218	NA	5.256	NA	-177.274	29.291
70	1	70	859.5	676	0	53.5	183.037	47.705	NA	5.489	NA	59.931	-122.795
71	1	71	865.5	678.75	0	22.4	189.637	53.291	NA	6.6	NA	24.624	-35.308
72	1	72	872	681	0	24.4	196.516	59.009	NA	6.878	NA	19.093	-5.53
73	1	73	874.25	682.25	0	51	199.09	61.405	NA	2.574	NA	29.055	9.961
74	1	74	877.5	684.25	0	65	202.906	65.036	NA	3.816	NA	31.608	2.553
75	1	75	881.25	684.75	0	36	206.689	67.919	NA	3.783	NA	7.595	-24.013
76	1	76	883.75	685.75	0	17.2	209.382	70.367	NA	2.693	NA	21.801	14.207
77	1	77	883.25	684	0	54.5	211.202	68.767	NA	1.82	NA	-105.945	-127.747
78	1	78	882	684.5	0	39.7	212.548	68.253	NA	1.346	NA	158.199	-95.856
79	1	79	890.5	688	0	53.5	221.74	76.747	NA	9.192	NA	22.38	-135.818
80	1	80	900	689	0	39.5	231.293	84.526	NA	9.552	NA	6.009	-16.371
