Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
1	1	1	790.5	669.5	0	32.6	0	0	NA	NA	NA	NA	NA
2	1	2	791	668.25	0	29.3	1.346	1.346	NA	1.346	NA	-68.199	NA
3	1	3	793.5	665.25	0	69.7	5.251	5.202	NA	3.905	NA	-50.194	18.004
4	1	4	792.5	667	0	30.4	7.267	3.202	NA	2.016	NA	119.745	169.939
5	1	5	791.25	667.5	0	39.7	8.613	2.136	NA	1.346	NA	158.199	38.454
6	1	6	791.75	667	0	37.6	9.32	2.795	NA	0.707	NA	-45	156.801
7	1	7	791.5	665.5	0	38.6	10.841	4.123	NA	1.521	NA	-99.462	-54.462
8	1	8	792.75	665.5	0	40.9	12.091	4.589	NA	1.25	NA	0	99.462
9	1	9	792.75	664	0	5.4	13.591	5.942	NA	1.5	NA	-90	-90
10	1	10	792.5	664.75	0	43.4	14.382	5.154	NA	0.791	NA	108.435	-161.565
11	1	11	791.75	664.75	0	43.1	15.132	4.912	NA	0.75	NA	180	71.565
12	1	12	790.75	664.5	0	39.6	16.162	5.006	NA	1.031	NA	-165.964	14.036
13	1	13	790.75	664.5	0	45.6	16.162	5.006	NA	0	NA	0	165.964
14	1	14	789.75	665.5	0	29.3	17.577	4.07	NA	1.414	NA	135	135
15	1	15	789.5	665.75	0	32.3	17.93	3.881	NA	0.354	NA	135	0
16	1	16	790	665.5	0	29.3	18.489	4.031	NA	0.559	NA	-26.565	-161.565
17	1	17	790.75	666.75	0	41.2	19.947	2.761	NA	1.458	NA	59.036	85.601
18	1	18	792	667	0	43.3	21.222	2.915	NA	1.275	NA	11.31	-47.726
19	1	19	794.25	668.25	0	16.3	23.796	3.953	NA	2.574	NA	29.055	17.745
20	1	20	794	668.75	0	5.7	24.355	3.579	NA	0.559	NA	116.565	87.51
21	1	21	792.25	666.75	0	37.7	27.012	3.26	NA	2.658	NA	-131.186	112.249
22	1	22	792.5	666.75	0	33.8	27.262	3.4	NA	0.25	NA	0	131.186
23	1	23	793.75	665.75	0	39.3	28.863	4.962	NA	1.601	NA	-38.66	-38.66
24	1	24	795	665.25	0	39.3	30.209	6.19	NA	1.346	NA	-21.801	16.858
25	1	25	796.5	665.5	0	14.4	31.73	7.211	NA	1.521	NA	9.462	31.264
26	1	26	797.5	663.25	0	19.7	34.192	9.384	NA	2.462	NA	-66.038	-75.5
27	1	27	796.25	662	0	24.8	35.96	9.451	NA	1.768	NA	-135	-68.962
28	1	28	797.5	660.75	0	37.2	37.728	11.205	NA	1.768	NA	-45	90
29	1	29	799	662	0	39.8	39.68	11.336	NA	1.953	NA	39.806	84.806
30	1	30	803.5	661.25	0	19.7	44.242	15.397	NA	4.562	NA	-9.462	-49.268
31	1	31	804.75	661.25	0	44.3	45.492	16.466	NA	1.25	NA	0	9.462
32	1	32	806.75	661.75	0	3.9	47.554	18.003	NA	2.062	NA	14.036	14.036
33	1	33	802.75	663	0	29.5	51.745	13.868	NA	4.191	NA	162.646	148.61
34	1	34	799.25	661	0	12.9	55.776	12.199	NA	4.031	NA	-150.255	47.099
35	1	35	802.75	662.75	0	25.9	59.689	13.987	NA	3.913	NA	26.565	176.82
36	1	36	805.75	661.25	0	30.7	63.043	17.339	NA	3.354	NA	-26.565	-53.13
37	1	37	813.5	663.5	0	104	71.113	23.77	NA	8.07	NA	16.189	42.754
38	1	38	814.75	662.5	0	8.1	72.714	25.24	NA	1.601	NA	-38.66	-54.849
39	1	39	817.5	661.5	0	9.5	75.64	28.16	NA	2.926	NA	-19.983	18.677
40	1	40	820.5	658.25	0	129.2	80.063	32.04	NA	4.423	NA	-47.291	-27.308
41	1	41	816	661	0	26	85.337	26.879	NA	5.274	NA	148.57	-164.139
42	1	42	809.5	662.25	0	26.7	91.956	20.336	NA	6.619	NA	169.114	20.544
43	1	43	802.75	665.25	0	38.6	99.342	12.966	NA	7.387	NA	156.038	-13.077
44	1	44	799.25	670.75	0	89.8	105.862	8.839	NA	6.519	NA	122.471	-33.566
45	1	45	794.75	673.75	0	89.8	111.27	6.01	NA	5.408	NA	146.31	23.839
46	1	46	795.75	676.5	0	10.2	114.196	8.75	NA	2.926	NA	70.017	-76.293
47	1	47	797.25	678.5	0	31.7	116.696	11.25	NA	2.5	NA	53.13	-16.887
48	1	48	799.25	681	0	0.9	119.898	14.45	NA	3.202	NA	51.34	-1.79
49	1	49	799.75	683	0	15.1	121.959	16.365	NA	2.062	NA	75.964	24.624
50	1	50	801	684.5	0	17.5	123.912	18.31	NA	1.953	NA	50.194	-25.769
51	1	51	807	683	0	48.7	130.096	21.319	NA	6.185	NA	-14.036	-64.231
52	1	52	810.75	685.75	0	36.3	134.747	25.964	NA	4.65	NA	36.254	50.29
53	1	53	815.75	687.5	0	21.1	140.044	31.009	NA	5.297	NA	19.29	-16.964
54	1	54	815.75	685.75	0	46.2	141.794	30.027	NA	1.75	NA	-90	-109.29
55	1	55	823	687	0	21.6	149.151	36.912	NA	7.357	NA	9.782	99.782
56	1	56	825	688.25	0	47.4	151.51	39.266	NA	2.358	NA	32.005	22.223
57	1	57	835.75	687	0	22.1	162.332	48.516	NA	10.822	NA	-6.633	-38.638
58	1	58	852	682.5	0	46.6	179.194	62.859	NA	16.862	NA	-15.479	-8.846
59	1	59	860.5	681.5	0	29.9	187.752	71.021	NA	8.559	NA	-6.71	8.769
60	1	60	858	685.75	0	13.1	192.683	69.428	NA	4.931	NA	120.466	127.175
61	1	61	846	687	0	105.3	204.748	58.194	NA	12.065	NA	174.053	53.588
62	1	62	838.25	688	0	65.3	212.562	51.209	NA	7.814	NA	172.648	-1.406
63	1	63	833.25	689.25	0	29	217.716	47.092	NA	5.154	NA	165.964	-6.684
64	1	64	828.75	685.5	0	16.1	223.574	41.462	NA	5.858	NA	-140.194	53.842
65	1	65	835	687	0	26.7	230.001	47.817	NA	6.427	NA	13.496	153.69
66	1	66	851.5	687.75	0	49.7	246.518	63.672	NA	16.517	NA	2.603	-10.893
67	1	67	865.75	687.75	0	40.6	260.768	77.431	NA	14.25	NA	0	-2.603
68	1	68	865.75	688.75	0	64.7	261.768	77.673	NA	1	NA	90	90
69	1	69	860	695.5	0	37	270.635	74.204	NA	8.867	NA	130.426	40.426
70	1	70	847	700.25	0	57	284.476	64.326	NA	13.841	NA	159.928	29.502
71	1	71	819	706.75	0	91.2	313.22	46.902	NA	28.745	NA	166.931	7.002
72	1	72	803.5	711.75	0	46.6	329.507	44.205	NA	16.286	NA	162.121	-4.809
73	1	73	793.5	712.25	0	43.2	339.519	42.855	NA	10.012	NA	177.138	15.016
74	1	74	800.5	716.5	0	61.2	347.709	48.052	NA	8.189	NA	31.264	-145.874
75	1	75	810.75	718.5	0	60.3	358.152	53.019	NA	10.443	NA	11.041	-20.223
76	1	76	826.5	725.5	0	74.3	375.387	66.573	NA	17.236	NA	23.962	12.922
77	1	77	845.5	737.5	0	54.9	397.86	87.459	NA	22.472	NA	32.276	8.313
78	1	78	856.833	739.5	0	26.7	409.368	96.437	NA	11.508	NA	10.008	-22.268
79	1	79	865.833	741.833	0	29.9	418.666	104.438	NA	9.298	NA	14.534	4.526
80	1	80	866.167	742.167	0	53.6	419.137	104.909	NA	0.471	NA	45	30.466
81	1	81	871.833	744.5	0	51.1	425.265	110.635	NA	6.128	NA	22.38	-22.62
82	1	82	882.833	742.5	0	47.9	436.446	117.705	NA	11.18	NA	-10.305	-32.685
83	1	83	902.167	744.833	0	57.9	455.919	134.702	NA	19.474	NA	6.882	17.187
84	1	84	910.833	746.167	0	39.7	464.688	142.681	NA	8.769	NA	8.746	1.864
85	1	85	930.5	748.5	0	36	484.492	160.751	NA	19.805	NA	6.766	-1.98
86	1	86	936.167	753.167	0	32.4	491.833	167.985	NA	7.341	NA	39.472	32.706
87	1	87	929.167	761.833	0	37	502.974	166.595	NA	11.141	NA	128.928	89.455
88	1	88	918.833	763.5	0	40.6	513.441	159.077	NA	10.467	NA	170.838	41.91
89	1	89	914.833	766.167	0	54.6	518.248	157.49	NA	4.807	NA	146.31	-24.528
90	1	90	919.5	773.167	0	38.2	526.661	165.493	NA	8.413	NA	56.31	-90
91	1	91	938.5	776.167	0	25.5	545.897	182.433	NA	19.235	NA	8.973	-47.337
92	1	92	959.5	773.833	0	46.8	567.026	198.611	NA	21.129	NA	-6.34	-15.313
93	1	93	985.5	777.5	0	70.7	593.283	222.91	NA	26.257	NA	8.027	14.367
94	1	94	991	787	0	42.7	604.26	232.393	NA	10.977	NA	59.931	51.904
