Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
1	1	1	624.167	573.167	0	30.3	0	0	NA	NA	NA	NA	NA
2	1	2	626.5	575.167	0	30.3	3.073	3.073	NA	3.073	NA	40.601	NA
3	1	3	627.833	576.833	0	23.5	5.208	5.185	NA	2.134	NA	51.34	10.739
4	1	4	628.833	577.167	0	31.5	6.262	6.146	NA	1.054	NA	18.435	-32.905
5	1	5	630.167	578.167	0	32.5	7.928	7.81	NA	1.667	NA	36.87	18.435
6	1	6	631.5	579.167	0	31.4	9.595	9.475	NA	1.667	NA	36.87	0
7	1	7	633.833	577.833	0	41.1	12.282	10.734	NA	2.687	NA	-29.745	-66.615
8	1	8	636.167	578.5	0	37.3	14.709	13.132	NA	2.427	NA	15.945	45.69
9	1	9	638.5	578.833	0	11.5	17.066	15.413	NA	2.357	NA	8.13	-7.815
10	1	10	640.833	581.167	0	10.2	20.366	18.487	NA	3.3	NA	45	36.87
11	1	11	640.833	581.5	0	21.2	20.699	18.634	NA	0.333	NA	90	45
12	1	12	642.5	582.167	0	32.9	22.494	20.423	NA	1.795	NA	21.801	-68.199
13	1	13	645.833	582.167	0	37.2	25.828	23.462	NA	3.333	NA	0	-21.801
14	1	14	646.833	583.833	0	32.6	27.771	25.051	NA	1.944	NA	59.036	59.036
15	1	15	650.5	585.833	0	1.8	31.948	29.221	NA	4.177	NA	28.61	-30.426
16	1	16	651.5	585.5	0	5.9	33.002	29.987	NA	1.054	NA	-18.435	-47.045
17	1	17	652.5	584.167	0	1.8	34.669	30.394	NA	1.667	NA	-53.13	-34.695
18	1	18	655.167	586.167	0	21.9	38.002	33.615	NA	3.333	NA	36.87	90
19	1	19	654.833	589.167	0	16.3	41.021	34.59	NA	3.018	NA	96.34	59.47
20	1	20	657.167	587.167	0	41.1	44.094	35.847	NA	3.073	NA	-40.601	-136.941
21	1	21	657.5	587.167	0	36.1	44.427	36.154	NA	0.333	NA	0	40.601
22	1	22	662.167	587.167	0	36.9	49.094	40.497	NA	4.667	NA	0	0
23	1	23	659.5	585.5	0	25.9	52.238	37.424	NA	3.145	NA	-147.995	-147.995
24	1	24	657.5	585.833	0	43.1	54.266	35.659	NA	2.028	NA	170.538	-41.468
25	1	25	657.5	587.167	0	38.4	55.599	36.154	NA	1.333	NA	90	-80.538
26	1	26	660.167	587.5	0	27.3	58.287	38.748	NA	2.687	NA	7.125	-82.875
27	1	27	658.833	587.167	0	18.6	59.661	37.387	NA	1.374	NA	-165.964	-173.089
28	1	28	658.167	583.833	0	85.9	63.06	35.634	NA	3.399	NA	-101.31	64.654
29	1	29	649.5	584.167	0	37.5	71.734	27.618	NA	8.673	NA	177.797	-80.893
